Regulon,Size,NES,p.value,FDR,Sign
CDK2,80,2.95,0.00319,0.00893,+
CSNK2A1,97,2.93,0.00334,0.00893,+
MAPK1,69,2.93,0.00344,0.00893,+
MAPKAPK2,29,2.86,0.00422,0.00914,+
MAPK3,64,2.73,0.00636,0.0118,+
CDK1,99,2.47,0.0135,0.0219,+
AKT1,49,2.42,0.0157,0.0226,+
CHEK1,44,0.05,0.961,0.961,-
CDK5,28,0.53,0.594,0.644,-
MAPK8,28,1.28,0.201,0.238,-
MTOR,30,1.86,0.0625,0.0813,-
PRKCA,46,3.07,0.00211,0.00893,-
PRKACA,82,3.38,0.000722,0.00893,-
