source,target
ENSEMBL:ENSG00000173801,ENSEMBL:ENSG00000179348
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000197122
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000186174
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000148737
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000112769
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000154856
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000139318
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000075275
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000123080
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000177485
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000142875
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000157388
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000115641
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000202601
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000105221
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000207993
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000271886
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000100985
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000168453
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000165806
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000134046
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000133392
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000125618
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000070915
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000125845
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000154096
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000141510
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000106462
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000026025
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000152284
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000179348
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000140937
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000114739
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000273213
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000129317
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000112210
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000107796
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000113296
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000254122
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000135341
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000121068
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000112238
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000283935
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000138778
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000213853
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000176490
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000136535
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000131473
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000105516
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000074266
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000056487
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000029363
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000105141
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000171720
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000101076
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000117139
ENSEMBL:ENSG00000104332,ENSEMBL:ENSG00000164761
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000197122
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000134871
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000107249
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000202601
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000107738
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000271886
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000100985
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000168453
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000197461
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000026025
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000110880
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000131759
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000107796
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000283935
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000207944
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000140937
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000135480
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000196502
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000101076
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000179348
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000141510
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000171720
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000284190
ENSEMBL:ENSG00000213853,ENSEMBL:ENSG00000149311
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000168259
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000135316
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000233927
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000242612
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000164692
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000041357
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000124225
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000134871
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000196367
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000177272
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000283926
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000143977
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000104529
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000089280
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000186468
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000124721
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000123983
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000174547
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000185304
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000255561
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000025800
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000124610
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000139644
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000139725
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000113648
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000028528
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000188021
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000128891
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000181885
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000117748
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000125863
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000155827
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000065427
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000182348
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000176715
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000188994
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000284386
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000091164
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000110063
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000166452
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000175756
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000171720
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000259494
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000114391
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000166226
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000133422
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000107796
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000108094
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000129317
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000153187
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000162437
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000130037
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000284190
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000029363
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000108469
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000105202
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000127616
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000136450
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000141510
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000173540
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000131759
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000145741
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000143799
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000183617
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000115233
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000129204
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000075886
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000117139
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000236334
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000074266
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000102580
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000184863
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000036257
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000077721
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000103254
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000026025
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000109606
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000256453
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000198373
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000230657
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000149311
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000166794
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000121068
ENSEMBL:ENSG00000110700,ENSEMBL:ENSG00000288701
